#Distance(A)    Macroscopic-Average    Planar-Average
 17.5893            16.21931            -0.00002
 17.6786            13.93377             0.00014
 17.7679            11.70149             0.00004
 17.8571             9.60125            -0.00013
 17.9464             7.70131            -0.00001
 18.0357             6.04996             0.00014
 18.1250             4.66851             0.00004
 18.2143             3.55128            -0.00013
 18.3036             2.67238            -0.00001
 18.3929             1.99533             0.00014
 18.4821             1.48141             0.00003
 18.5714             1.09522            -0.00012
 18.6607             0.80716             0.00000
 18.7500             0.59360             0.00014
 18.8393             0.43601             0.00003
 18.9286             0.32006            -0.00012
 19.0179             0.23484             0.00000
 19.1071             0.17225             0.00015
 19.1964             0.12633             0.00003
 19.2857             0.09267            -0.00012
 19.3750             0.06800             0.00001
 19.4643             0.04990             0.00015
 19.5536             0.03661             0.00003
 19.6429             0.02686            -0.00012
 19.7321             0.01969             0.00001
 19.8214             0.01443             0.00015
 19.9107             0.01058             0.00003
 20.0000             0.00776            -0.00012
 20.0893             0.00568             0.00001
 20.1786             0.00415             0.00015
 20.2679             0.00303             0.00003
 20.3571             0.00222            -0.00012
 20.4464             0.00162             0.00001
 20.5357             0.00118             0.00015
 20.6250             0.00087             0.00003
 20.7143             0.00064            -0.00012
 20.8036             0.00046             0.00001
 20.8929             0.00034             0.00015
 20.9821             0.00025             0.00003
 21.0714             0.00018            -0.00012
 21.1607             0.00014             0.00000
 21.2500             0.00010             0.00015
 21.3393             0.00007             0.00004
 21.4286             0.00006            -0.00012
 21.5179             0.00004            -0.00000
 21.6071             0.00003             0.00015
 21.6964             0.00002             0.00003
 21.7857             0.00002            -0.00012
 21.8750             0.00002            -0.00001
 21.9643             0.00001             0.00014
 22.0536             0.00001             0.00004
 22.1429             0.00001            -0.00012
 22.2321             0.00001            -0.00001
 22.3214             0.00001             0.00014
 22.4107             0.00001             0.00004
 22.5000             0.00001            -0.00013
 22.5893             0.00001            -0.00002
 22.6786             0.00001             0.00014
 22.7679             0.00001             0.00004
 22.8571             0.00001            -0.00013
 22.9464             0.00001            -0.00002
 23.0357             0.00001             0.00014
 23.1250             0.00001             0.00004
 23.2143             0.00001            -0.00013
 23.3036             0.00001            -0.00003
 23.3929             0.00001             0.00013
 23.4821             0.00001             0.00004
 23.5714             0.00001            -0.00013
 23.6607             0.00001            -0.00003
 23.7500             0.00001             0.00013
 23.8393             0.00001             0.00004
 23.9286             0.00001            -0.00013
 24.0179             0.00001            -0.00004
 24.1071             0.00001             0.00013
 24.1964             0.00001             0.00004
 24.2857             0.00001            -0.00014
 24.3750             0.00001            -0.00005
 24.4643             0.00001             0.00013
 24.5536             0.00001             0.00004
 24.6429             0.00001            -0.00014
 24.7321             0.00001            -0.00005
 24.8214             0.00001             0.00013
 24.9107             0.00001             0.00005
 25.0000             0.00001            -0.00014
 25.0893             0.00002            -0.00005
 25.1786             0.00002             0.00013
 25.2679             0.00002             0.00005
 25.3571             0.00003            -0.00014
 25.4464             0.00004            -0.00006
 25.5357             0.00005             0.00013
 25.6250             0.00006             0.00006
 25.7143             0.00008            -0.00014
 25.8036             0.00011            -0.00006
 25.8929             0.00014             0.00013
 25.9821             0.00018             0.00006
 26.0714             0.00024            -0.00014
 26.1607             0.00031            -0.00007
 26.2500             0.00041             0.00013
 26.3393             0.00053             0.00007
 26.4286             0.00071            -0.00013
 26.5179             0.00093            -0.00007
 26.6071             0.00122             0.00013
 26.6964             0.00161             0.00007
 26.7857             0.00212            -0.00013
 26.8750             0.00280            -0.00008
 26.9643             0.00370             0.00013
 27.0536             0.00487             0.00008
 27.1429             0.00643            -0.00013
 27.2321             0.00849            -0.00008
 27.3214             0.01120             0.00014
 27.4107             0.01479             0.00009
 27.5000             0.01955            -0.00013
 27.5893             0.02583            -0.00009
 27.6786             0.03414             0.00014
 27.7679             0.04514             0.00009
 27.8571             0.05974            -0.00013
 27.9464             0.07910            -0.00009
 28.0357             0.10478             0.00014
 28.1250             0.13883             0.00010
 28.2143             0.18395            -0.00013
 28.3036             0.24367            -0.00010
 28.3929             0.32259             0.00014
 28.4821             0.42654             0.00010
 28.5714             0.56276            -0.00013
 28.6607             0.73999            -0.00010
 28.7500             0.96842             0.00014
 28.8393             1.25925             0.00011
 28.9286             1.62295            -0.00013
 29.0179             2.06677            -0.00011
 29.1071             2.59273             0.00014
 29.1964             3.19804             0.00012
 29.2857             3.87992            -0.00013
 29.3750             4.64089            -0.00011
 29.4643             5.49101             0.00014
 29.5536             6.44593             0.00014
 29.6429             7.52081            -0.00012
 29.7321             8.72174            -0.00011
 29.8214            10.03734             0.00016
 29.9107            11.43423             0.00017
