# End points of segments: 
#   0.00000000 0.10877220 0.16318120 0.25746220 
0.000000 -0.031167
0.002175 -0.062911
0.004351 0.014741
0.006526 0.092101
0.008702 0.143228
0.010877 0.190905
0.013053 0.237606
0.015228 0.284090
0.017404 0.330607
0.019579 0.377197
0.021754 0.423810
0.023930 0.470351
0.026105 0.516708
0.028281 0.562767
0.030456 0.608419
0.032632 0.653563
0.034807 0.698107
0.036983 0.741971
0.039158 0.785083
0.041333 0.827383
0.043509 0.868818
0.045684 0.909346
0.047860 0.948932
0.050035 0.987548
0.052211 1.025175
0.054386 1.061798
0.056562 1.097409
0.058737 1.132005
0.060912 1.165585
0.063088 1.198154
0.065263 1.229719
0.067439 1.260287
0.069614 1.289867
0.071790 1.318469
0.073965 1.346101
0.076140 1.372769
0.078316 1.398473
0.080491 1.423211
0.082667 1.446967
0.084842 1.469715
0.087018 1.491405
0.089193 1.511963
0.091369 1.531277
0.093544 1.549187
0.095719 1.565477
0.097895 1.579873
0.100070 1.592064
0.102246 1.601746
0.104421 1.608711
0.106597 1.612936
0.108772 1.614642

0.108772 1.614642
0.109860 1.612949
0.110949 1.609619
0.112037 1.604824
0.113125 1.598747
0.114213 1.591567
0.115301 1.583449
0.116389 1.574541
0.117478 1.564970
0.118566 1.554850
0.119654 1.544275
0.120742 1.533330
0.121830 1.522088
0.122918 1.510613
0.124007 1.498962
0.125095 1.487186
0.126183 1.475332
0.127271 1.463444
0.128359 1.451561
0.129448 1.439720
0.130536 1.427957
0.131624 1.416304
0.132712 1.404794
0.133800 1.393456
0.134888 1.382319
0.135977 1.371409
0.137065 1.360753
0.138153 1.350374
0.139241 1.340296
0.140329 1.330541
0.141418 1.321128
0.142506 1.312077
0.143594 1.303406
0.144682 1.295129
0.145770 1.287263
0.146859 1.279820
0.147947 1.272813
0.149035 1.266252
0.150123 1.260146
0.151211 1.254505
0.152299 1.249335
0.153388 1.244643
0.154476 1.240433
0.155564 1.236709
0.156652 1.233476
0.157740 1.230737
0.158828 1.228492
0.159917 1.226745
0.161005 1.225496
0.162093 1.224746
0.163181 1.224496

0.163181 1.224496
0.165067 1.223145
0.166952 1.219135
0.168838 1.212584
0.170724 1.203675
0.172609 1.192626
0.174495 1.179667
0.176380 1.165026
0.178266 1.148910
0.180152 1.131502
0.182037 1.112956
0.183923 1.093400
0.185809 1.072935
0.187694 1.051639
0.189580 1.029575
0.191466 1.006786
0.193351 0.983306
0.195237 0.959159
0.197122 0.934363
0.199008 0.908931
0.200894 0.882872
0.202779 0.856197
0.204665 0.828916
0.206550 0.801039
0.208436 0.772581
0.210322 0.743557
0.212207 0.713990
0.214093 0.683902
0.215979 0.653323
0.217864 0.622287
0.219750 0.590833
0.221635 0.559003
0.223521 0.526847
0.225407 0.494420
0.227292 0.461780
0.229178 0.428993
0.231064 0.396128
0.232949 0.363258
0.234835 0.330460
0.236720 0.297805
0.238606 0.265359
0.240492 0.233162
0.242377 0.201212
0.244263 0.169409
0.246148 0.137452
0.248034 0.104523
0.249920 0.067984
0.251805 -0.015218
0.253691 -0.062134
0.255577 -0.074270
0.257462 -0.031171


0.000000 -0.017005
0.002175 0.076619
0.004351 0.160777
0.006526 0.244632
0.008702 0.327732
0.010877 0.409995
0.013053 0.491354
0.015228 0.571712
0.017404 0.650950
0.019579 0.728937
0.021754 0.805536
0.023930 0.880606
0.026105 0.954011
0.028281 1.025612
0.030456 1.095276
0.032632 1.162875
0.034807 1.228282
0.036983 1.291378
0.039158 1.352046
0.041333 1.410175
0.043509 1.465653
0.045684 1.518372
0.047860 1.568217
0.050035 1.615068
0.052211 1.658789
0.054386 1.699221
0.056562 1.736167
0.058737 1.769386
0.060912 1.798578
0.063088 1.823408
0.065263 1.843560
0.067439 1.858861
0.069614 1.869417
0.071790 1.875667
0.073965 1.878289
0.076140 1.878034
0.078316 1.875589
0.080491 1.871520
0.082667 1.866278
0.084842 1.860219
0.087018 1.853638
0.089193 1.846794
0.091369 1.839932
0.093544 1.833304
0.095719 1.827178
0.097895 1.821841
0.100070 1.817568
0.102246 1.814544
0.104421 1.812755
0.106597 1.811876
0.108772 1.811323

0.108772 1.811323
0.109860 1.811063
0.110949 1.810611
0.112037 1.809863
0.113125 1.808770
0.114213 1.807335
0.115301 1.805594
0.116389 1.803595
0.117478 1.801391
0.118566 1.799029
0.119654 1.796551
0.120742 1.793992
0.121830 1.791382
0.122918 1.788747
0.124007 1.786110
0.125095 1.783488
0.126183 1.780899
0.127271 1.778358
0.128359 1.775880
0.129448 1.773477
0.130536 1.771162
0.131624 1.768946
0.132712 1.766839
0.133800 1.764851
0.134888 1.762991
0.135977 1.761268
0.137065 1.759689
0.138153 1.758260
0.139241 1.756987
0.140329 1.755874
0.141418 1.754924
0.142506 1.754138
0.143594 1.753517
0.144682 1.753058
0.145770 1.752758
0.146859 1.752611
0.147947 1.752609
0.149035 1.752741
0.150123 1.752996
0.151211 1.753357
0.152299 1.753806
0.153388 1.754323
0.154476 1.754885
0.155564 1.755467
0.156652 1.756043
0.157740 1.756588
0.158828 1.757076
0.159917 1.757484
0.161005 1.757791
0.162093 1.757981
0.163181 1.758046

0.163181 1.758046
0.165067 1.759233
0.166952 1.762720
0.168838 1.768292
0.170724 1.775592
0.172609 1.784117
0.174495 1.793182
0.176380 1.801840
0.178266 1.808770
0.180152 1.812304
0.182037 1.810953
0.183923 1.804263
0.185809 1.792826
0.187694 1.777520
0.189580 1.759024
0.191466 1.737776
0.193351 1.714046
0.195237 1.688010
0.197122 1.659785
0.199008 1.629462
0.200894 1.597114
0.202779 1.562802
0.204665 1.526585
0.206550 1.488517
0.208436 1.448651
0.210322 1.407042
0.212207 1.363741
0.214093 1.318804
0.215979 1.272287
0.217864 1.224247
0.219750 1.174742
0.221635 1.123834
0.223521 1.071585
0.225407 1.018059
0.227292 0.963320
0.229178 0.907437
0.231064 0.850475
0.232949 0.792501
0.234835 0.733582
0.236720 0.673780
0.238606 0.613151
0.240492 0.551743
0.242377 0.489591
0.244263 0.426705
0.246148 0.363062
0.248034 0.298590
0.249920 0.233177
0.251805 0.166808
0.253691 0.100566
0.255577 0.038094
0.257462 -0.016989


0.000000 -0.014882
0.002175 0.145726
0.004351 0.266236
0.006526 0.388965
0.008702 0.512548
0.010877 0.636073
0.013053 0.758970
0.015228 0.880804
0.017404 1.001185
0.019579 1.119727
0.021754 1.236020
0.023930 1.349618
0.026105 1.460011
0.028281 1.566592
0.030456 1.668601
0.032632 1.764996
0.034807 1.854133
0.036983 1.932654
0.039158 1.991390
0.041333 2.018425
0.043509 2.026596
0.045684 2.029071
0.047860 2.029561
0.050035 2.029174
0.052211 2.028383
0.054386 2.027485
0.056562 2.026739
0.058737 2.026424
0.060912 2.026860
0.063088 2.028396
0.065263 2.031337
0.067439 2.035807
0.069614 2.041572
0.071790 2.047924
0.073965 2.053692
0.076140 2.057340
0.078316 2.057220
0.080491 2.052155
0.082667 2.042110
0.084842 2.028152
0.087018 2.011716
0.089193 1.994053
0.091369 1.976106
0.093544 1.958574
0.095719 1.941997
0.097895 1.926829
0.100070 1.913485
0.102246 1.902387
0.104421 1.894014
0.106597 1.888918
0.108772 1.887623

0.108772 1.887623
0.109860 1.889031
0.110949 1.891706
0.112037 1.895600
0.113125 1.900593
0.114213 1.906519
0.115301 1.913192
0.116389 1.920429
0.117478 1.928057
0.118566 1.935926
0.119654 1.943903
0.120742 1.951870
0.121830 1.959723
0.122918 1.967365
0.124007 1.974708
0.125095 1.981666
0.126183 1.988153
0.127271 1.994090
0.128359 1.999395
0.129448 2.003995
0.130536 2.007823
0.131624 2.010822
0.132712 2.012954
0.133800 2.014202
0.134888 2.014569
0.135977 2.014083
0.137065 2.012793
0.138153 2.010764
0.139241 2.008072
0.140329 2.004801
0.141418 2.001037
0.142506 1.996864
0.143594 1.992363
0.144682 1.987612
0.145770 1.982683
0.146859 1.977644
0.147947 1.972561
0.149035 1.967495
0.150123 1.962504
0.151211 1.957645
0.152299 1.952972
0.153388 1.948539
0.154476 1.944398
0.155564 1.940598
0.156652 1.937189
0.157740 1.934214
0.158828 1.931717
0.159917 1.929734
0.161005 1.928294
0.162093 1.927420
0.163181 1.927127

0.163181 1.927127
0.165067 1.926667
0.166952 1.925293
0.168838 1.923034
0.170724 1.919958
0.172609 1.916200
0.174495 1.912033
0.176380 1.907966
0.178266 1.904880
0.180152 1.904019
0.182037 1.906469
0.183923 1.912319
0.185809 1.920652
0.187694 1.930318
0.189580 1.940411
0.191466 1.950330
0.193351 1.959688
